trip_id,category,number,station_name,arrival_dbdatetime,departure_dbdatetime,request_timestamp,station_uic
-988583344704703688,ICE,883,Hamburg Hbf,2508221558,2508221601,25082215,8002549
-988583344704703688,ICE,883,Hamburg-Harburg,2508221610,2508221612,25082216,8000147
-988583344704703688,ICE,883,Hannover Hbf,2508221720,2508221726,25082217,8000152
113516970818843912,ICE,759,Hannover Hbf,2508221501,2508221504,25082215,8000152
1176428023985104420,ICE,538,Hannover Hbf,2508221532,2508221545,25082215,8000152
1188908030179368912,ICE,1671,Uelzen,2508221313,2508221315,25082213,8000168
1188908030179368912,ICE,1671,Celle,2508221337,2508221338,25082213,8000064
1188908030179368912,ICE,1671,Hannover Hbf,2508221358,2508221401,25082213,8000152
1297801680225336717,IC,2446,Hannover Hbf,2508222122,2508222122,25082221,8000152
1332050420045921138,ICE,630,Hannover Hbf,2508221332,2508221345,25082213,8000152
1436290888966803640,ICE,200,Hamburg-Harburg,2508221701,2508221701,25082217,8000147
1677073591470788837,ICE,548,Hannover Hbf,2508221428,2508221431,25082214,8000152
1690497143864597407,ICE,854,Hannover Hbf,2508221928,2508221931,25082219,8000152
195571161565961167,ICE,1586,Celle,2508221318,2508221319,25082213,8000064
195571161565961167,ICE,1586,Uelzen,2508221340,2508221342,25082213,8000168
195571161565961167,ICE,1586,Lüneburg,2508221356,2508221358,25082213,8000238
195571161565961167,ICE,1586,Hamburg-Harburg,2508221416,2508221418,25082214,8000147
195571161565961167,ICE,1586,Hamburg Hbf,2508221429,2508221432,25082214,8002549
195571161565961167,ICE,1586,Hamburg Dammtor,2508221435,2508221437,25082214,8002548
195571161565961167,ICE,1586,Hamburg-Altona,2508221444,2508221444,25082214,8002553
1980910822671238492,ICE,708,Lüneburg,2508221829,2508221831,25082218,8000238
1980910822671238492,ICE,708,Hamburg-Harburg,2508221855,2508221857,25082218,8000147
1980910822671238492,ICE,708,Hamburg Hbf,2508221911,2508221915,25082219,8002549
2006650266683945588,ICE,681,Hamburg Hbf,2508221455,2508221501,25082214,8002549
2006650266683945588,ICE,681,Hamburg-Harburg,2508221511,2508221513,25082215,8000147
2006650266683945588,ICE,681,Hannover Hbf,2508221622,2508221626,25082216,8000152
2011312559727747204,IC,2084,Hannover Hbf,2508221654,2508221657,25082216,8000152
2011312559727747204,IC,2084,Celle,2508221716,2508221717,25082217,8000064
2011312559727747204,IC,2084,Uelzen,2508221741,2508221743,25082217,8000168
2011312559727747204,IC,2084,Lüneburg,2508221757,2508221759,25082217,8000238
2011312559727747204,IC,2084,Hamburg-Harburg,2508221816,2508221818,25082218,8000147
2011312559727747204,IC,2084,Hamburg Hbf,2508221830,2508221830,25082218,8002549
211585818996437737,ICE,547,Hannover Hbf,2508221328,2508221331,25082213,8000152
2312296716933966404,ICE,1021,Hamburg-Altona,2508221555,2508221555,25082215,8002553
2312296716933966404,ICE,1021,Hamburg Dammtor,2508221601,2508221602,25082216,8002548
2312296716933966404,ICE,1021,Hamburg Hbf,2508221606,2508221610,25082216,8002549
2456315461108108830,IC,144,Hannover Hbf,2508221353,2508221356,25082213,8000152
2662972692212507122,ICE,804,Hamburg Hbf,2508221306,2508221306,25082213,8002549
2677562958045670522,ICE,74,Hannover Hbf,2508221617,2508221620,25082216,8000152
2677562958045670522,ICE,74,Hamburg Hbf,2508221735,2508221739,25082217,8002549
2677562958045670522,ICE,74,Hamburg Dammtor,2508221742,2508221743,25082217,8002548
2693134664275397928,ICE,1139,Hannover Hbf,2508221417,2508221427,25082214,8000152
2769724218638057691,ICE,1576,Hannover Hbf,2508221756,2508221759,25082217,8000152
2769724218638057691,ICE,1576,Celle,2508221816,2508221817,25082218,8000064
2769724218638057691,ICE,1576,Uelzen,2508221840,2508221842,25082218,8000168
2769724218638057691,ICE,1576,Lüneburg,2508221856,2508221858,25082218,8000238
2769724218638057691,ICE,1576,Hamburg-Harburg,2508221916,2508221918,25082219,8000147
2769724218638057691,ICE,1576,Hamburg Hbf,2508221929,2508221932,25082219,8002549
2769724218638057691,ICE,1576,Hamburg Dammtor,2508221935,2508221936,25082219,8002548
2769724218638057691,ICE,1576,Hamburg-Altona,2508221944,2508221944,25082219,8002553
2936828438103251305,ICE,273,Hamburg Dammtor,2508221817,2508221817,25082218,8002548
2936828438103251305,ICE,273,Hamburg Hbf,2508221821,2508221824,25082218,8002549
2936828438103251305,ICE,273,Hannover Hbf,2508221938,2508221941,25082219,8000152
2942558901086960115,ICE,859,Hannover Hbf,2508221428,2508221431,25082214,8000152
3365409376481099659,ICE,635,Hannover Hbf,2508222014,2508222026,25082220,8000152
3397100192751969577,ICE,789,Hannover Hbf,2508221320,2508221326,25082213,8000152
3418545835031584322,EC,390,Hamburg Hbf,2508221655,2508221655,25082216,8002549
3499338043235512572,ICE,609,Hamburg-Altona,2508221937,2508221937,25082219,8002553
3499338043235512572,ICE,609,Hamburg Hbf,2508221947,2508221950,25082219,8002549
3499338043235512572,ICE,609,Uelzen,2508222029,2508222031,25082220,8000168
3520459826486736427,ICE,1675,Hamburg-Altona,2508221610,2508221610,25082216,8002553
3520459826486736427,ICE,1675,Hamburg Dammtor,2508221620,2508221621,25082216,8002548
3520459826486736427,ICE,1675,Hamburg Hbf,2508221625,2508221628,25082216,8002549
3520459826486736427,ICE,1675,Hamburg-Harburg,2508221638,2508221640,25082216,8000147
3520459826486736427,ICE,1675,Lüneburg,2508221657,2508221659,25082216,8000238
3520459826486736427,ICE,1675,Uelzen,2508221713,2508221715,25082217,8000168
3520459826486736427,ICE,1675,Celle,2508221736,2508221737,25082217,8000064
3520459826486736427,ICE,1675,Hannover Hbf,2508221757,2508221801,25082217,8000152
